Place of interest,Type of place,address,embajada_latitude,embajadas_longitude
Embajada de Finlandia,Embajada ,PASEO CASTELLANA 15 PLANTA 4,40.42811394313855,-3.690189203244315
Embajada de Francia,Embajada ,CALLE SALUSTIANO OLOZAGA 9,40.42053900269312,-3.68991139140075
Embajada de Gabón,Embajada ,CALLE ORENSE 68 PLANTA 2 IZQUIERDA,40.461715298599664,-3.693784947795898
Embajada de Gambia,Embajada ,CALLE HERNANDEZ IGLESIAS 20 B,40.44189900508045,-3.64472118306081
Embajada de Georgia,Embajada ,PLAZA CORTES 4 PLANTA 5 DERECHA,40.41582948601852,-3.6955563094397
Embajada de Ghana,Embajada ,CALLE HERNANDEZ DE TEJADA 10,40.447162324487145,-3.6506769412919526
Embajada de Grecia,Embajada ,AVENIDA DOCTOR ARCE 24,40.4472975753116,-3.680491668946674
Embajada de Guatemala,Embajada ,CALLE VELAZQUEZ 114 PLANTA 1 IZQUIERDA,40.43579499501083,-3.6830553901663263
Embajada de Guinea,Embajada ,CALLE LUIS MURIEL 4,40.448801374698455,-3.6882191727598235
Embajada de Guinea Ecuatorial,Embajada ,AVENIDA PIO XII 14,40.46481349821753,-3.6754666562248497
Embajada de Guinea-Bissau,Embajada ,AVENIDA AMERICA 16 PLANTA 1 DERECHA,40.438537097580785,-3.674979575450985
Embajada de Haití,Embajada ,PASEO CASTELLANA 15 PLANTA 3 B,40.42811394313855,-3.690189203244315
Embajada de Honduras,Embajada ,PASEO CASTELLANA 164 PLANTA 2 D,40.45931029243837,-3.688986889788791
Embajada de Hungría,Embajada ,CALLE FORTUNY 6 PLANTA 4,40.42910937757233,-3.6909538832505566
Embajada de India,Embajada ,AVENIDA PIO XII 30 y 32,40.46669236532539,-3.674598330204083
Embajada de Indonesia,Embajada ,CALLE AGASTIA 65,40.448506444421625,-3.6536640916192464
Embajada de Iran,Embajada ,CALLE JEREZ 5 Villa El Altozano,40.464201488428714,-3.6772609590516034
Embajada de Iraq,Embajada ,CALLE CARRIL DEL CONDE 56,40.45987984928293,-3.654540960444581
Embajada de Irlanda,Embajada ,PASEO CASTELLANA 46 PLANTA 4,40.43419977951646,-3.6878816351465096
Embajada de Israel,Embajada ,CALLE VELAZQUEZ 150 PLANTA 7,40.44314776253032,-3.6824349354549653
Embajada de Italia,Embajada ,CALLE LAGASCA 98,40.43211138948028,-3.6845592531777847
Embajada de Japón,Embajada ,CALLE SERRANO 109,40.43983073591458,-3.6863118701222697
Embajada de Jordania,Embajada ,PASEO GENERAL MARTINEZ CAMPOS 41 PLANTA 5,40.43527538585405,-3.691818732220474
Embajada de Kazajstán,Embajada ,AVENIDA MADROÑOS 43,40.45705044578936,-3.6369050297290753
Embajada de Kenia,Embajada ,CALLE SEGRE 13,40.45068779829347,-3.6836476857574754
Embajada de Kuwait,Embajada ,AVENIDA MIRAFLORES 61,40.47147353472993,-3.7327465094176118
Embajada de Letonia,Embajada ,CALLE MORETO 5 PLANTA 1 DERECHA,40.41442775333952,-3.6902558463144506
Embajada de Libia,Embajada ,AVENIDA COMANDANTE FRANCO 32,40.465901050911526,-3.6728117554238167
Embajada de Lituania,Embajada ,CALLE PISUERGA 5,40.44932531380484,-3.683424907566784
Embajada de Luxemburgo,Embajada ,CALLE CLAUDIO COELLO 78 PLANTA 1,40.43000619511413,-3.685587151651725
Embajada de Líbano,Embajada ,CALLE CLAUDIO COELLO 65 PLANTA 1,40.428315263386644,-3.686232880384695
Embajada de Macedonia del Norte,Embajada ,CALLE DON RAMON DE LA CRUZ 107 PLANTA 2 B,40.42856835724131,-3.6711545671911487
Embajada de Malasia,Embajada ,AVENIDA MADRO&amp;Ntilde;OS 63 BIS,40.456282559716115,-3.6325036162338042
Embajada de Mali,Embajada ,CALLE SERRANO 174,40.447224313873804,-3.6840241406946985
Embajada de Malta,Embajada ,PASEO CASTELLANA 45 PLANTA 6 DERECHA,40.4357025961309,-3.6896772816624206
Embajada de Marruecos,Embajada ,CALLE SERRANO 179,40.44943613336201,-3.682966115908703
Embajada de Mauritania,Embajada ,CALLE PIEDRALAVES 4 PLANTA Baja,40.46350997750835,-3.7284137219262607
Embajada de Moldavia,Embajada ,PASEO CASTELLANA 178 PLANTA 5 D,40.4608230762265,-3.689108497357059
Embajada de Montenegro,Embajada ,CALLE ALCALA 89 PLANTA Bajo izquierda,40.42093283981246,-3.685179596781701
Embajada de Mozambique,Embajada ,CALLE ALFONSO RODRIGUEZ SANTAMARIA 8,40.44897315044939,-3.685084095674594
Embajada de México,Embajada ,CARRERA SAN JERONIMO 46,40.41605298613373,-3.697338423479512
Embajada de Mónaco,Embajada ,CALLE VILLANUEVA 12 PLANTA Entreplanta A,40.42254598598297,-3.68874131027488
Embajada de Nicaragua,Embajada ,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635
Embajada de Nigeria,Embajada ,CALLE SEGRE 23,40.45109181438889,-3.6848225800571006
Embajada de Noruega,Embajada ,CALLE SERRANO 26 PLANTA 5,40.42419079459679,-3.6878739673021554
Embajada de Nueva Zelanda,Embajada ,CALLE PINAR 7 PLANTA 3,40.43726808887648,-3.6885142239148925
Embajada de Omán,Embajada ,AVENIDA CARDENAL HERRERA ORIA 138,40.489372517911235,-3.701082104378252
Embajada de Orden de Malta,Embajada ,CALLE PRADO 26,40.41520561977732,-3.6974239687412025
Embajada de Pakistán,Embajada ,CALLE PEDRO DE VALDIVIA 16,40.43912685155856,-3.688026179153966
Embajada de Palestina,Embajada ,AVENIDA PIO XII 20,40.465869898534564,-3.6750643949484867
Embajada de Panamá,Embajada ,CALLE CARACAS 23 PLANTA BAJO IZQUIERDA,40.43073323148883,-3.6939542885166206
