Place of interest,Type of place,Place address,BiciMAD station,Station location
Embajada de Camerún,Embajada ,CALLE ROSARIO PINO 3,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
Embajada de Gabón,Embajada ,CALLE ORENSE 68 PLANTA 2 IZQUIERDA,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
Embajada de Yemen,Embajada ,PASEO CASTELLANA 117 PLANTA 8 D,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
Embajada de Costa de Marfil,Embajada ,CALLE SERRANO 154,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Filipinas,Embajada ,CALLE ERESMA 2,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Israel,Embajada ,CALLE VELAZQUEZ 150 PLANTA 7,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Mali,Embajada ,CALLE SERRANO 174,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Rusia,Embajada ,CALLE VELAZQUEZ 155,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Tailandia,Embajada ,CALLE JOAQUIN COSTA 29,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6
Embajada de Croacia,Embajada ,CALLE CLAUDIO COELLO 78 2,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
Embajada de Estonia,Embajada ,CALLE CLAUDIO COELLO 91 PLANTA 1 DERECHA,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
Embajada de Luxemburgo,Embajada ,CALLE CLAUDIO COELLO 78 PLANTA 1,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
Embajada de Sudáfrica,Embajada ,CALLE CLAUDIO COELLO 91 PLANTA 6 y 7,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
Embajada de Dinamarca,Embajada ,CALLE SERRANO 26 PLANTA 7,106b - Colón B,Calle Serrano nº 34
Embajada de Noruega,Embajada ,CALLE SERRANO 26 PLANTA 5,106b - Colón B,Calle Serrano nº 34
Embajada de El Salvador,Embajada ,PASEO CASTELLANA 178 PLANTA 1 D,157 - Castellana 164,Paseo de la Castellana nº 164
Embajada de Honduras,Embajada ,PASEO CASTELLANA 164 PLANTA 2 D,157 - Castellana 164,Paseo de la Castellana nº 164
Embajada de Moldavia,Embajada ,PASEO CASTELLANA 178 PLANTA 5 D,157 - Castellana 164,Paseo de la Castellana nº 164
Embajada de Eslovaquia,Embajada ,CALLE PINAR 20,250 - Serrano 113,Calle Serrano nº 113B
Embajada de Japón,Embajada ,CALLE SERRANO 109,250 - Serrano 113,Calle Serrano nº 113B
Embajada de Pakistán,Embajada ,CALLE PEDRO DE VALDIVIA 16,250 - Serrano 113,Calle Serrano nº 113B
Embajada de Estados Unidos de América,Embajada ,CALLE SERRANO 75,142 - Castellana 42,Paseo de la Castellana nº 42
Embajada de Irlanda,Embajada ,PASEO CASTELLANA 46 PLANTA 4,142 - Castellana 42,Paseo de la Castellana nº 42
Embajada de República Dominicana,Embajada ,PASEO CASTELLANA 30 PLANTA 1 DERECHA,142 - Castellana 42,Paseo de la Castellana nº 42
Embajada de Georgia,Embajada ,PLAZA CORTES 4 PLANTA 5 DERECHA,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Embajada de México,Embajada ,CARRERA SAN JERONIMO 46,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Embajada de Orden de Malta,Embajada ,CALLE PRADO 26,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Embajada de Guinea,Embajada ,CALLE LUIS MURIEL 4,149 - Paseo de la Habana 42,Paseo de la Habana nº 42
Embajada de Mozambique,Embajada ,CALLE ALFONSO RODRIGUEZ SANTAMARIA 8,149 - Paseo de la Habana 42,Paseo de la Habana nº 42
Embajada de Guinea-Bissau,Embajada ,AVENIDA AMERICA 16 PLANTA 1 DERECHA,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1
Embajada de Líbano,Embajada ,CALLE CLAUDIO COELLO 65 PLANTA 1,105 - Serrano,Calle Serrano nº 54
Embajada de Macedonia del Norte,Embajada ,CALLE DON RAMON DE LA CRUZ 107 PLANTA 2 B,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87
Embajada de Mónaco,Embajada ,CALLE VILLANUEVA 12 PLANTA Entreplanta A,107 - Columela,Calle Serrano nº 8
Embajada de Paraguay,Embajada ,CALLE DOCTOR FLEMING 3 PLANTA 1,253 - Doctor Fleming,Calle Doctor Fleming nº 7
Embajada de Siria,Embajada ,PLAZA PLATERIA DE MARTINEZ 1 PLANTA 1,67 - Almadén,Calle Almadén nº 28
Embajada de Suiza,Embajada ,CALLE NU&amp;Ntilde;EZ DE BALBOA 35 A PLANTA 7,90 - General Pardiñas,Calle Goya nº 18
Embajada de Túnez,Embajada ,AVENIDA ALFONSO XIII 64 66 y 68,251 - Corazón de María,Calle Santa Hortensia nº 31
Embajada de Vietnam,Embajada ,AVENIDA ALFONSO XIII 54,251 - Corazón de María,Calle Santa Hortensia nº 31
Embajada de Venezuela,Embajada ,CALLE POETA JOAN MARAGALL 1 PLANTA 13,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
